round,client_id,gbound,round_time,samples
1,80,2.6510567665100098,6.172358469665051,154
1,95,2.1616337299346924,6.194004004448653,158
1,82,6.517350673675537,6.2275151364505295,162
1,39,3.8694422245025635,6.26974316649139,165
1,62,2.32901668548584,6.272110849246383,156
2,9,6.517350673675537,0.7002316411584616,145
2,48,2.32901668548584,0.7804074916988611,159
2,68,6.394535064697266,0.7490389194339514,162
2,97,2.6510567665100098,0.7752623740583658,158
2,44,3.400425434112549,0.8269601795822382,166
3,21,2.32901668548584,0.7233710210770369,151
3,17,6.394535064697266,0.7739836718887091,160
3,15,6.517350673675537,0.754899987578392,144
3,3,4.072969913482666,0.8024909846484661,165
3,32,8.091851234436035,0.7902796804904938,161
4,11,6.394535064697266,0.7314732164144516,153
4,2,6.517350673675537,0.7697176035493613,153
4,28,8.091851234436035,0.7686921987682581,153
4,29,6.55704402923584,0.7718735817819834,164
4,75,2.32901668548584,0.8255032874643803,153
5,71,3.4347894191741943,0.6940603774040938,144
5,96,6.517350673675537,0.7324331361800432,137
5,9,6.55704402923584,0.7041786719113589,145
5,61,8.091851234436035,0.7398092761635781,153
5,15,6.394535064697266,0.7384098131209612,144
6,64,6.517350673675537,0.7569733705371618,140
6,86,6.55704402923584,0.7517753574997187,158
6,80,6.394535064697266,0.7973845336586237,154
6,70,8.643732070922852,0.8162026848644018,162
6,1,8.091851234436035,0.9374169070273638,221
7,24,6.517350673675537,0.7164802789688111,146
7,53,6.55704402923584,0.6953362036496401,155
7,43,8.091851234436035,0.7346046414226294,160
7,53,8.643732070922852,0.7791173622012139,155
7,45,6.394535064697266,0.879484360665083,192
8,49,6.517350673675537,0.7610578402876854,160
8,66,10.84023666381836,0.7393351379781962,162
8,49,8.643732070922852,0.7426877725869417,160
8,60,8.988906860351562,0.7879661243408919,162
8,91,8.998493194580078,0.7830559179186821,162
9,18,6.517350673675537,0.6962755747139454,140
9,63,8.988906860351562,0.729033937305212,154
9,65,8.998493194580078,0.7999046087265015,162
9,5,10.84023666381836,0.8028087724000216,162
9,56,8.643732070922852,1.0097730230540036,250
10,80,8.998493194580078,0.7585015684366226,154
10,42,8.988906860351562,0.7410956524312496,156
10,32,13.514029502868652,0.7659902103245259,161
10,72,10.84023666381836,0.7820883687585592,158
10,23,6.699446678161621,0.8869540948420763,198
11,53,10.84023666381836,0.7524915892630816,155
11,99,8.988906860351562,0.7534044232219458,160
11,93,13.514029502868652,0.8003804586827755,156
11,66,11.891148567199707,0.856530237570405,162
11,78,6.699446678161621,0.8935129806399346,207
12,48,11.891148567199707,0.7685141727328301,159
12,36,8.250192642211914,0.805108492821455,162
12,26,10.84023666381836,0.8481324497610331,164
12,67,16.244691848754883,0.9603357683867216,226
12,56,13.514029502868652,1.0676568202674388,250
13,24,11.891148567199707,0.7291375376284123,146
13,21,10.84023666381836,0.7184601906687021,151
13,10,16.244691848754883,0.7516495637595654,149
13,59,8.250192642211914,0.7846492189913988,159
13,45,13.514029502868652,0.8924313817173243,192
14,35,13.514029502868652,0.7725416529923678,147
14,57,8.250192642211914,0.8024526309221983,155
14,50,10.84023666381836,0.7918583579361439,157
14,70,23.527267456054688,0.8226091373711825,162
14,56,16.244691848754883,1.0232848316431045,250
15,51,23.527267456054688,0.7210908938199282,135
15,41,13.514029502868652,0.7644354250282049,158
15,5,16.244691848754883,0.769576895609498,162
15,51,9.701631546020508,0.8009397383779288,135
15,38,12.018311500549316,0.8773718044161797,162
16,15,16.244691848754883,0.7843030761927366,144
16,39,9.701631546020508,0.8076564405113459,165
16,80,13.514029502868652,0.7879064377397299,154
16,45,23.527267456054688,0.8199936352670193,192
16,16,12.018311500549316,0.8420619662851095,164
17,11,9.701631546020508,0.740382194146514,153
17,53,23.527267456054688,0.7725733142346144,155
17,79,16.244691848754883,0.7673698958009482,141
