id, gamma
1, 1.075869898404926
2, 0.8785468769683079
3, 0.8964765709425723
4, 0.9258625984812777
5, 0.9383828721940517
6, 0.9184481572359802
7, 0.9150902573019266
8, 0.8139434014531699
9, 0.8146720370134484
10, 0.8537341988179833
11, 0.8765235079186304
12, 0.7331626851398212
13, 0.8319462596128385
14, 0.8498471587896349
15, 0.7958532701556882
16, 0.9499956593331365
17, 0.8801803398877381
18, 0.8561304741849503
19, 0.8011103847995402
20, 0.8149121930822731
21, 0.8187102500349285
22, 0.9179812408645045
23, 1.0270956496397654
24, 0.8609125629067421
25, 0.9472339720775683
26, 0.9717842727899553
27, 0.9214212648570539
28, 0.8503979397316774
29, 0.8557444953049224
30, 0.8261516886763275
31, 0.8711836016235446
32, 0.9005800793213504
33, 0.9080947052114285
34, 1.3539866901468485
35, 0.8687642109181201
36, 0.9043274545007284
37, 0.950062803817647
38, 0.9164228636357521
39, 0.9112796945807835
40, 0.8667206786572935
41, 0.8690975913157066
42, 1.4869516792396706
43, 0.8943073991686106
44, 0.9270893477967809
45, 1.027639108470508
46, 0.8060633024748635
47, 0.8866174834852038
48, 0.8967549103312197
49, 0.9108569826309881
50, 0.8824946448206901
51, 0.8409633968025446
52, 0.9472621869828021
53, 0.877782049083284
54, 0.8406043214516508
55, 0.9478065286118251
56, 1.1776351412758232
57, 0.8901932892031396
58, 0.827620339800011
59, 0.8235606644302607
60, 0.9107393930000919
61, 0.8613021242742738
62, 0.8911543923829284
63, 0.8852710346189829
64, 0.8195254998281598
65, 0.9276511777192356
66, 0.8963954918086529
67, 1.1489298248494213
68, 0.9196506939828397
69, 0.9163097357234131
70, 0.9316055190439028
71, 1.3419122009792113
72, 0.8606382888383591
73, 0.865325620258227
74, 0.9230981929657553
75, 0.8849092043522331
76, 0.9301078353077172
77, 0.9028600566089153
78, 1.3973326556603696
79, 0.8383360982279888
80, 0.8800196809863504
81, 0.832222681120038
82, 0.9074166360621652
83, 0.8813683380683264
84, 0.787650627270341
85, 0.8858857768454723
86, 0.8920899126057824
87, 0.896059076594455
88, 0.9283936843689945
89, 1.1738316521387209
90, 0.9226043367292733
91, 0.8907754355420671
92, 0.9387621240483389
93, 2.1041533359636864
94, 0.8740137054838918
95, 0.8851943025365474
96, 0.8525195503464114
97, 0.8967759791761638
98, 0.8590340696275236
99, 0.8829562182227771
100, 1.0947540286928414
