round,client_id,gbound,round_time,samples
1,148,1.8932926654815674,5.457963646948338,148
1,128,1.3656710386276245,5.574236379563809,158
1,104,1.5431256294250488,5.566601296514273,152
1,67,6.759524822235107,5.787230761349202,226
1,145,1.2952781915664673,5.788833461329341,272
2,181,8.52806568145752,0.8301944393664599,161
2,77,5.887325286865234,0.8362874552607537,162
2,129,6.759524822235107,0.8678145442157984,163
2,45,1.6985721588134766,0.925754077360034,192
2,182,7.0054497718811035,0.9247692931443453,163
3,62,5.887325286865234,0.8171345811337233,156
3,114,7.0054497718811035,0.8319434389472008,153
3,3,3.698749542236328,0.823640500754118,165
3,76,8.52806568145752,0.895757807046175,163
3,78,6.759524822235107,0.962509311363101,207
4,40,7.0054497718811035,0.8452925808727741,155
4,71,5.887325286865234,0.8187310226261616,144
4,117,8.52806568145752,0.8158492106944323,152
4,151,8.349625587463379,0.8377718567848206,162
4,127,6.759524822235107,0.8952350165694952,161
5,64,8.52806568145752,0.7190556894987822,140
5,40,7.0054497718811035,0.7680541031062603,155
5,71,5.887325286865234,0.7740332778543234,144
5,20,8.349625587463379,0.7644668478518725,144
5,111,6.759524822235107,0.8218913540244103,141
6,90,6.759524822235107,0.818350150808692,162
6,163,8.349625587463379,0.767785319685936,154
6,66,8.52806568145752,0.8482580460608006,162
6,163,5.887325286865234,0.8065313059836626,154
6,120,7.0054497718811035,0.8823100492358208,154
7,118,8.349625587463379,0.7581135366111994,154
7,58,7.93161153793335,0.7527580890804529,130
7,159,12.295231819152832,0.7828587513417006,161
7,117,8.52806568145752,0.8599054660648108,152
7,45,7.0054497718811035,0.8892724566161633,192
8,175,7.93161153793335,0.6978352811187506,145
8,118,8.52806568145752,0.842268829792738,154
8,191,12.295231819152832,0.8189114421606064,164
8,119,8.349625587463379,0.8001810271292925,162
8,138,7.686459064483643,0.8330002814531327,162
9,71,8.349625587463379,0.7601149022579193,144
9,165,7.686459064483643,0.7323298506438732,160
9,94,12.295231819152832,0.8211164750158787,159
9,144,8.52806568145752,0.7926581107079983,152
9,129,7.93161153793335,0.8306031949818135,163
10,84,7.686459064483643,0.6705829124897719,127
10,151,11.480477333068848,0.787035958468914,162
10,141,7.93161153793335,0.7623162340372801,146
10,165,8.52806568145752,0.8208303075283766,160
10,38,12.295231819152832,0.8037613216787577,162
11,182,11.480477333068848,0.7674939330667258,163
11,166,8.52806568145752,0.7922467678785324,144
11,157,7.686459064483643,0.8126066938042641,152
11,65,12.295231819152832,0.7917966671288014,162
11,190,7.93161153793335,0.8143985826522112,160
12,116,8.514094352722168,0.7436547312885523,132
12,157,11.480477333068848,0.8396242834627629,152
12,72,7.686459064483643,0.7719250373542309,158
12,192,8.52806568145752,0.7926699161529541,158
12,174,12.295231819152832,0.8903307091444731,165
13,102,7.686459064483643,0.7567572087049484,136
13,175,8.52806568145752,0.7676981329917908,145
13,126,11.480477333068848,0.8398572966456413,164
13,168,10.3358736038208,0.8302483964711428,164
13,97,12.295231819152832,0.8615311790257693,158
14,57,7.686459064483643,0.7276577591896057,155
14,8,10.3358736038208,0.7250492848455906,141
14,199,8.52806568145752,0.8301778618246317,158
14,13,12.295231819152832,0.8034014046192169,144
14,172,11.480477333068848,0.9166048500686884,164
15,86,11.480477333068848,0.8285754021257162,158
15,47,28.206682205200195,0.8421005211770535,161
15,148,8.52806568145752,0.9501816179603338,148
15,163,7.686459064483643,0.9569357424974442,154
15,74,10.3358736038208,0.9300048422068358,164
16,61,7.686459064483643,0.7549417052417994,153
16,97,28.206682205200195,0.7880233783274889,158
16,117,8.52806568145752,0.8305842313915491,152
16,158,11.480477333068848,0.8643817227333784,162
16,187,10.3358736038208,0.8465772472321987,164
17,17,11.480477333068848,0.7846378605812788,160
17,150,7.686459064483643,0.7801722470670939,140
17,126,10.401814460754395,0.8272650349885226,164
17,66,14.608072280883789,0.8475529864430428,162
17,89,28.206682205200195,1.0294650807976722,246
18,94,28.206682205200195,0.7599989153444767,159
18,164,11.480477333068848,0.7705789428204298,158
18,52,14.608072280883789,0.8027242120355368,162
18,41,7.686459064483643,0.8052824247628451,158
18,90,12.080183029174805,0.8549535345286131,162
19,163,14.608072280883789,0.7573907464742661,154
19,137,7.686459064483643,0.717914268001914,148
19,136,12.080183029174805,0.8351337477564812,158
19,50,11.480477333068848,0.8168780576437712,157
19,154,28.206682205200195,0.7980120457708836,157
20,21,7.686459064483643,0.7639205452054739,151
20,146,14.608072280883789,0.7815796934068203,156
20,26,12.080183029174805,0.8050640221685171,164
20,68,24.471525192260742,0.8213603362441063,162
20,192,28.206682205200195,0.860875540971756,158
21,84,28.206682205200195,0.683000722527504,127
21,58,24.471525192260742,0.6940264940261841,130
21,24,12.080183029174805,0.7352582696825266,146
21,198,9.90208911895752,0.8222381990402937,165
21,103,14.608072280883789,0.8509955178946257,159
22,137,9.90208911895752,0.7201273661106825,148
22,13,28.206682205200195,0.7044300749897957,144
22,182,24.471525192260742,0.8014498051255942,163
22,113,14.94675350189209,0.8362521599978209,162
22,145,12.080183029174805,1.1885292824357747,272
23,4,9.90208911895752,0.7333287313580513,159
23,161,24.471525192260742,0.7514983914792538,153
23,44,14.94675350189209,0.819388372451067,166
23,199,28.206682205200195,0.8433926865458489,158
23,22,26.451026916503906,0.8750472940504551,161
24,24,9.90208911895752,0.7077693656086922,146
24,157,24.471525192260742,0.7151160273700953,152
24,72,28.206682205200195,0.7701165188103914,158
24,17,26.451026916503906,0.8059444814920426,160
24,159,14.94675350189209,0.8336464796215296,161
25,65,24.471525192260742,0.8061003774404526,162
25,30,28.206682205200195,0.7843626044690609,150
25,196,11.683852195739746,0.7897141702473164,163
25,82,26.451026916503906,0.8635193925350905,162
25,89,14.94675350189209,1.1535785492509603,246
26,132,24.471525192260742,0.774046441167593,162
26,16,26.451026916503906,0.8290572665631771,164
26,43,28.206682205200195,0.8373447559773922,160
26,170,51.422306060791016,0.873904749378562,161
26,112,11.683852195739746,1.0184599455446004,233
27,8,26.451026916503906,0.7758163191378117,141
27,42,11.683852195739746,0.7648832142353058,156
27,62,51.422306060791016,0.8100890718400479,156
27,83,28.206682205200195,0.7945572357624769,160
27,103,24.471525192260742,0.8030446242541075,159
28,20,28.206682205200195,0.7973588906228543,144
28,103,11.683852195739746,0.7877428099513054,159
28,50,26.451026916503906,0.8223980475217104,157
28,63,51.422306060791016,0.8098267741501332,154
28,138,24.471525192260742,0.8445560015738011,162
29,33,11.683852195739746,0.7770623151212931,160
29,185,26.451026916503906,0.8253064077347517,156
29,55,28.206682205200195,0.8238949306309223,162
29,129,24.471525192260742,0.860962500423193,163
29,107,51.422306060791016,0.8739040099084378,153
30,124,26.451026916503906,0.7850425276905298,158
30,151,24.471525192260742,0.8465005099773407,162
30,22,23.801565170288086,0.866895354911685,161
30,82,51.422306060791016,0.8457091391086579,162
30,45,28.206682205200195,0.9300305169075728,192
