round,accuracy,elapsed_time
1,0.048987863961241426,5.370274066925049
2,0.09191970067635631,6.347174167633057
3,0.1080731040437473,7.174931049346924
4,0.09272317359811963,159.2784731388092
5,0.1353432148510577,160.18334555625916
6,0.16988055835371996,161.01516366004944
7,0.20666043075742313,161.99039459228516
8,0.20525735117762747,162.84864926338196
9,0.1962632513071425,163.70894622802734
10,0.2950184678850674,165.20142650604248
11,0.3029692521705761,166.06513047218323
12,0.33009545737995877,166.94098496437073
13,0.36729505444428456,167.74891209602356
14,0.30383268575814265,168.60536527633667
15,0.398906317455749,169.51261973381042
16,0.37792008442461744,170.3657157421112
17,0.3490670120401017,171.1951105594635
18,0.44647910970403415,172.08353209495544
19,0.3969995682832062,172.93157505989075
20,0.4549575478486113,173.76026558876038
21,0.4509761596392766,174.5967836380005
22,0.4176020530531971,175.4865300655365
23,0.5047129083321341,176.5797529220581
24,0.4918453494507603,177.46180272102356
25,0.37154026958315345,178.3089599609375
26,0.5065237204393918,179.28725361824036
27,0.5190914759917494,1150.4334256649017
28,0.5109728018419917,1151.2670180797577
29,0.5046529476663308,1152.1595289707184
30,0.5486041157001007,1153.00949716568
31,0.5052645464575238,1154.2555294036865
32,0.5548160406773157,1155.346148967743
33,0.5833813018659759,1156.787089586258
34,0.5431476951120066,1157.6238894462585
35,0.5247877392430566,1158.4916996955872
36,0.5547201036120305,1159.3454566001892
37,0.5504269199405191,1160.602464914322
38,0.5844126253177915,1162.0620791912079
39,0.5840648534561328,1162.9446971416473
40,0.5933587566556339,1163.9253602027893
41,0.5888257303209095,1164.8352098464966
42,0.5829495850721926,1165.6966466903687
43,0.5847244207799683,1166.5473403930664
44,0.5804672135079388,1167.5945575237274
45,0.5922314961385331,1169.0062334537506
46,0.6091883724276874,1169.985523700714
47,0.5483522809037271,1170.8686392307281
48,0.5985033817815513,1171.6753294467926
49,0.5953854271597832,1172.5434653759003
50,0.5836930973281528,1173.544278383255
51,0.6189619609536144,1174.7769713401794
52,0.5973041684654866,1175.6320941448212
53,0.6241185782126925,1176.6114456653595
54,0.5797596776514606,1177.4387838840485
55,0.6239027198158008,1178.2877700328827
56,0.5970283494027918,1179.6777012348175
57,0.6216122223821173,1180.8405120372772
58,0.6004461073535761,1181.6882526874542
59,0.6320213939655586,1182.5565087795258
60,0.6062982683359716,1183.7909133434296
61,0.6331726387489807,1184.8873274326324
62,0.6135055403655202,1185.743356704712
63,0.6293831246702163,1186.5896615982056
64,0.6464359380246558,1187.6329028606415
65,0.5782007003405766,1188.4819431304932
66,0.6221158919748645,1189.3627812862396
67,0.6373219168225644,1190.3701040744781
68,0.6343718520650453,1191.2173838615417
69,0.6321053388976832,1192.1153147220612
70,0.6378016021489903,1192.9814002513885
71,0.636554420300283,1193.9121799468994
72,0.6329447882189284,1194.7589840888977
73,0.6425025183479637,1195.6308040618896
74,0.6261212644505204,1196.5256114006042
75,0.6433059912697271,1197.3624572753906
76,0.6312179210437953,1198.2115304470062
77,0.63037847172255,1199.167025089264
78,0.6099678610831295,1199.9771194458008
79,0.6368302393629779,1200.8280854225159
80,0.6222597975727923,1201.6579492092133
81,0.6464359380246558,1202.5141928195953
82,0.6503213891687053,1203.3884980678558
83,0.6544107065764858,1204.2702686786652
84,0.6485825298604115,1205.1081223487854
85,0.6234590108888569,1205.9338746070862
86,0.6110951216002303,1206.8591351509094
87,0.6625053964599222,1207.7720263004303
88,0.6472633952127405,1208.5998184680939
89,0.6366143809660862,3827.790021419525
90,0.6518443900801074,3828.5941576957703
91,0.6452487168417518,3829.4835748672485
92,0.6486784669256968,3957.1157796382904
93,0.6443373147215427,3957.9663515090942
94,0.6663668633376505,3959.016809940338
95,0.6461121504293184,3959.8429839611053
96,0.6507531059624886,3960.7467296123505
97,0.6431141171391567,3961.5683131217957
98,0.6447570393821653,3962.4623935222626
99,0.6549263683023936,3963.3596374988556
100,0.6484386242624838,3964.1886649131775
101,0.6631649637837579,3965.0278120040894
102,0.6617618842039622,3965.8984310626984
103,0.6519882956780352,3966.765792131424
104,0.6518204058137862,3967.5780708789825
105,0.657120928670792,3968.4219710826874
106,0.6618458291360867,3969.359882593155
107,0.6536072336547225,3970.2096807956696
108,0.6715354727298892,3971.3422248363495
109,0.6673622103899842,3972.197758436203
110,0.6752890104091716,3973.1346616744995
111,0.6486904590588574,3974.2259187698364
112,0.6355470811147887,3975.112747192383
113,0.6481867894661102,3976.011544942856
114,0.6837434642874275,3977.0395448207855
115,0.6205569146639804,3978.4982194900513
116,0.636146687772821,3979.3866395950317
117,0.6655993668153691,3980.3567378520966
118,0.6802417614045186,3981.23859500885
119,0.6601429462272749,3982.1118338108063
120,0.6632968772485249,3982.995705127716
121,0.6334004892790329,5210.053160190582
122,0.6472633952127405,5253.504246711731
123,0.6661510049407589,5254.349745750427
124,0.6526958315345134,5255.210548877716
125,0.6717273468604595,5256.091892719269
126,0.6510529092915047,5256.967217206955
127,0.6314937401064902,5257.85430264473
128,0.6386890200028781,5258.714257001877
129,0.6737180409651269,5259.765960931778
130,0.6675301002542332,5260.638986587524
131,0.6542548088453974,5261.465153455734
132,0.6753969396076174,5262.317603588104
133,0.6704321964791097,5263.1988661289215
134,0.6704441886122704,5264.04026722908
135,0.6700604403511297,5264.858559846878
136,0.6729625365760061,5265.715146064758
137,0.6594114261044755,5266.538924694061
138,0.669472825826258,5267.439245462418
139,0.668249628243872,5268.27502989769
140,0.6877128603636015,6030.8505074977875
141,0.6951359907900417,6032.209457874298
